领域,类型,等级,序号,简称,全称,出版社/组织,网址,PDF页码
计算机体系结构/并行与分布计算/存储系统,期刊,A,1,TOCS,ACM Transactions on Computer Systems,ACM,https://dblp.org/db/journals/tocs/,2
计算机体系结构/并行与分布计算/存储系统,期刊,A,2,TOS,ACM Transactions on Storage,ACM,https://dblp.org/db/journals/tos/,2
计算机体系结构/并行与分布计算/存储系统,期刊,A,3,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE,https://dblp.org/db/journals/tcad/,2
计算机体系结构/并行与分布计算/存储系统,期刊,A,4,TC,IEEE Transactions on Computers,IEEE,https://dblp.org/db/journals/tc/index.html,2
计算机体系结构/并行与分布计算/存储系统,期刊,A,5,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,https://dblp.org/db/journals/tpds/,2
计算机体系结构/并行与分布计算/存储系统,期刊,A,6,TACO,ACM Transactions on Architecture and Code Optimization,ACM,https://dblp.org/db/journals/taco/,2
计算机体系结构/并行与分布计算/存储系统,期刊,B,1,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,https://dblp.org/db/journals/taas/,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,2,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,https://dblp.org/db/journals/todaes/,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,3,TECS,ACM Transactions on Embedded Computing Systems,ACM,https://dblp.org/db/journals/tecs/,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,4,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,https://dblp.org/db/journals/trets/,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,5,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,https://dblp.org/db/journals/tvlsi/,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,6,JPDC,Journal of Parallel and Distributed Computing,Elsevier,https://dblp.org/db/journals/jpdc/,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,7,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,https://dblp.org/db/journals/jsa/,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,8,,Parallel Computing,Elsevier,https://dblp.org/db/journals/pc/index.html,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,9,,Performance Evaluation: An International Journal,Elsevier,https://dblp.org/db/journals/pe/index.html,3
计算机体系结构/并行与分布计算/存储系统,期刊,B,10,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.org/db/journals/tcc/,3
计算机体系结构/并行与分布计算/存储系统,期刊,C,1,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,https://dblp.org/db/journals/jetc/,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,2,,Concurrency and Computation: Practice and Experience,Wiley,https://dblp.org/db/journals/concurrency/,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,3,DC,Distributed Computing,Springer,https://dblp.org/db/journals/dc/,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,4,FGCS,Future Generation Computer Systems,Elsevier,https://dblp.org/db/journals/fgcs,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,5,Integration,"Integration, the VLSI Journal",Elsevier,https://dblp.org/db/journals/integration,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,6,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,https://dblp.org/db/journals/et/index.html,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,7,JGC,Journal of Grid computing,Springer,https://dblp.org/db/journals/grid/,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,8,RTS,Real-Time Systems,Springer,https://dblp.org/db/journals/rts/,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,9,TJSC,The Journal of Supercomputing,Springer,https://dblp.org/db/journals/tjs/,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,10,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,11,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html,4
计算机体系结构/并行与分布计算/存储系统,期刊,C,12,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html,4
计算机体系结构/并行与分布计算/存储系统,会议,A,1,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,https://dblp.org/db/conf/ppopp/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,2,FAST,USENIX Conference on File and Storage Technologies,USENIX,https://dblp.org/db/conf/fast/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,3,DAC,Design Automation Conference,ACM,https://dblp.org/db/conf/dac/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,4,HPCA,IEEE International Symposium on High Performance Computer Architecture,IEEE,https://dblp.org/db/conf/hpca/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,5,MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ ACM,https://dblp.org/db/conf/micro/index.html,5
计算机体系结构/并行与分布计算/存储系统,会议,A,6,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,https://dblp.org/db/conf/sc/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,7,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,https://dblp.org/db/conf/asplos/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,8,ISCA,International Symposium on Computer Architecture,IEEE/ ACM,https://dblp.org/db/conf/isca/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,9,ACM SIGOPS ATC（原 USENIX ATC）,ACM SIGOPS Annual Technical Conference,ACM,https://dblp.org/db/conf/usenix/index.html,5
计算机体系结构/并行与分布计算/存储系统,会议,A,10,EuroSys,European Conference on Computer Systems,ACM,https://dblp.org/db/conf/eurosys/,5
计算机体系结构/并行与分布计算/存储系统,会议,A,11,HPDC,The International ACM Symposium on High-Performance Parallel and Distributed Computing,IEEE,https://dblp.org/db/conf/hpdc/,5
计算机体系结构/并行与分布计算/存储系统,会议,B,1,SoCC,ACM Symposium on Cloud Computing,ACM,https://dblp.org/db/conf/cloud/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,2,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,https://dblp.org/db/conf/spaa/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,3,PODC,ACM Symposium on Principles of Distributed Computing,ACM,https://dblp.org/db/conf/podc/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,4,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,https://dblp.org/db/conf/fpga/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,5,CGO,The International Symposium on Code Generation and Optimization,IEEE/ ACM,https://dblp.org/db/conf/cgo/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,6,DATE,"Design, Automation & Test in Europe",IEEE/ ACM,https://dblp.org/db/conf/date/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,7,HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,IEEE,https://dblp.org/db/conf/hotchips/index.html,6
计算机体系结构/并行与分布计算/存储系统,会议,B,8,CLUSTER,IEEE International Conference on Cluster Computing,IEEE,https://dblp.org/db/conf/cluster/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,9,ICCD,International Conference on Computer Design,IEEE,https://dblp.org/db/conf/iccd/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,10,ICCAD,International Conference on Computer-Aided Design,IEEE/ ACM,https://dblp.org/db/conf/iccad/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,11,ICDCS,IEEE International Conference on Distributed Computing Systems,IEEE,https://dblp.org/db/conf/icdcs/,6
计算机体系结构/并行与分布计算/存储系统,会议,B,12,CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,IEEE/ ACM,https://dblp.org/db/conf/codesisss/index.html,6
